,title,type,built_area,land_area,price,rooms,link
105,Swettenham Road,Good-class Bungalow,7000,15971,25500000,3,stproperty.sg/listings/84405961/for-sale-swettenham-road-good-class-bungalow-within-dempsey-hill-vicinity
106,Palm avenue,Detached,4905,4905,7500000,8,stproperty.sg/listings/87305131/for-sale-palm-avenue-bungalow-near-east-coast-park
107,Grove Drive,Detached,8320,4306,10980000,6,stproperty.sg/listings/85366001/for-sale-grove-drive-brand-new-detached-bungalows
108,Kingsmead Road,Detached,5100,6300,13680000,6,stproperty.sg/listings/83929391/for-sale-kingsmead-road-hill-top-bungalow-nanyang-primary-exclusive-loca
109,Kim Lin Park,Detached,8000,5000,16800000,4,stproperty.sg/listings/83600941/for-sale-kim-lin-park-brand-new-walk-to-orchard
110,One Tree Hill,Detached,8000,5000,16800000,5,stproperty.sg/listings/80755122/for-sale-one-tree-hill-brand-new-luxury-houses-on-the-fringe-of-orchard
111,Sixth Avenue,Detached,3500,12500,20500000,3,stproperty.sg/listings/80300722/for-sale-sixth-avenue-build-your-mansion-in-the-sky-bukit-timah
112,Holland Park,Detached,4000,7200,11000000,4,stproperty.sg/listings/84460921/for-sale-holland-park-rare-7200-sqft-bungalow-within-gcb-zone
113,Ban Guan Park,Detached,7284,4487,11680000,6,stproperty.sg/listings/78526822/for-sale-ban-guan-park-modern-contemporary-detached-with-lift-basemen
114,Shamrock Park,Detached,6000,12578,17000000,4,stproperty.sg/listings/80485062/for-sale-shamrock-park-hill-top-namly-commanding-view-rarely-available
115,Holland Green,Detached,3918,4413,4038000,5,stproperty.sg/listings/77964312/for-sale-holland-green-within-1km-of-the-much-sought-after-methodist-girl
116,Brizay Park,Good-class Bungalow,10213,17808,24000000,8,stproperty.sg/listings/71756292/for-sale-brizay-park-near-king-albert-park-sixth-avenue-mrt
117,Grove Drive,Detached,8320,4306,10980000,6,stproperty.sg/listings/85366001/for-sale-grove-drive-brand-new-detached-bungalows
118,Peirce Road,Good-class Bungalow,12000,16200,32800000,6,stproperty.sg/listings/72572822/for-sale-peirce-road-resort-home-you-call-home
119,Ban Guan Park,Detached,4000,6180,9990000,4,stproperty.sg/listings/85242621/for-sale-ban-guan-park-maryland-estate-vicinity-rare
120,Ban Guan Park,Detached,7500,4519,11600000,6,stproperty.sg/listings/77123722/for-sale-ban-guan-park-brand-new
121,Sixth Avenue,Detached,9622,4455,12800000,6,stproperty.sg/listings/81236052/for-sale-sixth-avenue-brand-new-tastefully-and-thoughtfully-renovated
122,Jervois Hill,Good-class Bungalow,11000,15191,39888888,8,stproperty.sg/listings/82020912/for-sale-jervois-hill-jervois-hill-gcb-chatsworth-with-unblocked-vie
123,White House Road,Good-class Bungalow,7200,17500,32000000,7,stproperty.sg/listings/86962631/for-sale-white-house-road-white-house-park-gcba-freehold-regular-land-50m-fr
124,Palm avenue,Detached,4905,4905,7500000,8,stproperty.sg/listings/87305131/for-sale-palm-avenue-bungalow-near-east-coast-park
125,Garlick Avenue,Good-class Bungalow,4000,19242,20000000,6,stproperty.sg/listings/85030201/for-sale-garlick-avenue-charming-calm-gcb-house-at-prime-garlic-ave-on
126,Garlick Avenue,Others,6620,8062,11888888,7,stproperty.sg/listings/83657021/for-sale-garlick-avenue-corner-bunglow-house-within-gcb-area
127,Lewis Road,Detached,11500,9600,16800000,9,stproperty.sg/listings/83517681/for-sale-lewis-road-price-reduced-rare-gcba-plot-with-dual-entrance
128,Jervois Road,Good-class Bungalow,15095,15095,37000000,5,stproperty.sg/listings/86684131/for-sale-jervois-road-jervois-road-level-2-very-big-master-room-2-big-r
129,Cable Road,Good-class Bungalow,8900,15141,31796000,6,stproperty.sg/listings/84276931/for-sale-cable-road-beautiful-modern-black-white-good-class-bungalow
130,Garlick Avenue,Good-class Bungalow,4000,19242,20000000,6,stproperty.sg/listings/85030201/for-sale-garlick-avenue-charming-calm-gcb-house-at-prime-garlic-ave-on
131,Sixth Avenue,Detached,3500,12500,20500000,3,stproperty.sg/listings/80300722/for-sale-sixth-avenue-build-your-mansion-in-the-sky-bukit-timah
132,Dalvey Villas,Good-class Bungalow,12700,15200,32000000,8,stproperty.sg/listings/79508082/for-sale-dalvey-villas-grand-and-exclusive-6-bedrooms-villa
133,Kingsmead Road,Detached,5100,6300,14580000,5,stproperty.sg/listings/82754492/for-sale-kingsmead-road-a-tudor-style-bungalow-located-withing-a-gcb-area
134,Old Holland Road,Good-class Bungalow,11000,25810,32800000,4,stproperty.sg/listings/85319221/for-sale-old-holland-road-charming-good-class-bungalow
135,Swettenham Road,Good-class Bungalow,6000,15971,23500000,5,stproperty.sg/listings/82100282/for-sale-swettenham-road-good-class-bungalow
136,Ford Avenue,Good-class Bungalow,8000,15700,25000000,7,stproperty.sg/listings/84559481/for-sale-ford-avenue-gem-rebuild-to-your-dream-house-ard700m-walk-to-h
137,Mcmahon Park,Detached,3000,5138,8500000,4,stproperty.sg/listings/84635871/for-sale-mcmahon-park-gem-to-rebuild-your-dream-home-within-1km-to-hpp
138,Leedon Road,Detached,10000,18792,30067200,6,stproperty.sg/listings/74567462/for-sale-leedon-road-unique-2-large-houses-within-a-plot
139,Leedon Road,Good-class Bungalow,10000,15653,27000000,6,stproperty.sg/listings/85300681/for-sale-leedon-road-excellent-location-with-beautiful-house
140,Ban Guan Park,Detached,4300,7300,11800000,7,stproperty.sg/listings/82404282/for-sale-ban-guan-park-greenleaf-view
141,Coronation Road West,Detached,6000,11000,14000000,6,stproperty.sg/listings/84238151/for-sale-coronation-road-west-priced-to-sell-hidden-jewel-absolute-privacy-ex
